,Unnamed: 0,School ID,School Name,2012,2013,2014,2015,2016,2017,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link ,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
10,22,609753,CHICAGO AGRICULTURE HS,3.6,1.4,2.5,2.0,2.1,"0,6%",Chicago High School for Agricultural Sciences,HS,3857 W 111th St ,Chicago,IL,60655,(773) 535-2500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609753.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Very Strong,87.0,Strong,77,Average,49.0,Average,47.0,Average,57,Average,40,Average,52,Strong,55,92.8%,5.2,95.2%,96.8%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,16.1,16.5,16.9,17.4,1.3,20.4,3.5,30.7,70.7,79.6,579,49,88.1,150000000000000,1152383.425,1830663.6469999999,41.69119388,-87.71773863,74,MOUNT GREENWOOD,19,22,"(41.69119388, -87.71773863)"
11,25,609754,CHICAGO MILITARY HS,9.3,3.0,2.3,1.6,0.3,"1,4%",Chicago Military Academy High School,HS,3519 S Giles Ave ,Chicago,IL,60653,(773) 534-9750,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609754.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,32.0,NDA,NDA,Weak,23.0,Weak,35.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,90.3%,28.2,95.6%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.8,14.4,15.2,15.6,0.8,17.4,2.2,24.4,83.6,69.3,483,40,88.1,150000000000000,1178881.169,1881647.166,41.83053768,-87.61917837,35,DOUGLAS,2,2,"(41.83053768, -87.61917837)"
12,28,609674,CHICAGO VOCATIONAL HS,4.3,5.8,4.1,4.8,3.9,"2,2%",Chicago Vocational Career Academy High School,HS,2100 E 87th St ,Chicago,IL,60617,(773) 535-6100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609674.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,27.0,Average,43,Weak,21.0,Weak,30.0,Weak,34,Weak,39,NDA,NDA,NDA,NDA,68.8%,33.3,94.6%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.5,12.6,13.8,13.2,0.7,14.3,0.5,7,49.5,54,833,47,44.1,150000000000000,1191700.5929999999,1847743.551,41.73720173,-87.57324389,45,AVALON PARK,8,4,"(41.73720173, -87.57324389)"
13,33,610244,CLARK HS,5.0,3.0,2.6,2.9,1.4,"1,6%",Michele Clark Academic Prep Magnet High School,HS,5101 W Harrison St ,Chicago,IL,60644,(773) 534-6250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610244.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,48,Weak,36,79.1%,24.4,95.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,19.4,22.8,36.5,52.7,3.6,10.7,1.7,2.6,-1.2,-0.7,Red,Yellow,NDA,NDA,14,13.3,14.4,14.5,0.5,15.7,1.3,13,87.4,60.4,726,36,78.2,150000000000000,1142209.317,1896792.791,41.87285714,-87.75335467,25,AUSTIN,24,15,"(41.87285714, -87.75335467)"
14,34,609759,CLEMENTE HS,14.1,10.9,5.5,4.7,2.2,"2,9%",Roberto Clemente Community Academy High School,HS,1147 N Western Ave ,Chicago,IL,60622,(773) 534-4000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609759.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,44.0,Weak,31,Weak,39.0,Weak,34.0,Weak,28,Weak,25,NDA,NDA,NDA,NDA,69.6%,20.6,94.2%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.6,12.3,14,13.3,0.7,15.4,1.4,12.5,49.5,41.5,1016,35,58.9,150000000000000,1160235.206,1907768.8769999999,41.90262318,-87.68686934,24,WEST TOWN,1,13,"(41.90262318, -87.68686934)"
15,35,610499,COLLINS HS,2.3,3.7,8.3,8.2,8.4,"5,3%",Collins Academy High School,HS,1313 S Sacramento Dr ,Chicago,IL,60623,(773) 534-1840,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610499.pdf,AUSL Schools,WEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,60.0,Average,42,Average,51.0,Average,46.0,Average,47,Average,48,Strong,54,Strong,56,91.4%,2.9,96.6%,98.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.5,12.5,14.2,14.1,1.6,15.6,1.4,20.5,NDA,NDA,409,37,70.4,150000000000000,1156217.24,1893722.861,41.86416169,-87.70200761,29,NORTH LAWNDALE,24,10,"(41.86416169, -87.70200761)"
16,36,609761,CORLISS HS,8.6,5.7,8.5,7.0,8.1,"5,6%",George H Corliss High School,HS,821 E 103rd St ,Chicago,IL,60628,(773) 535-5115,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609761.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,33.0,Average,52,Average,40.0,Average,48.0,Average,48,Average,54,NDA,NDA,NDA,NDA,71.3%,23.4,95.2%,98.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,11.4,13,12.9,0.9,14.3,1.3,10.6,42.8,44,621,48,76.2,150000000000000,1183649.971,1836810.314,41.70739096,-87.60307842,50,PULLMAN,9,5,"(41.70739096, -87.60307842)"
17,38,609756,CURIE HS,10.9,5.7,7.3,2.1,2.9,"3,3%",Marie Sklodowska Curie Metropolitan High School,HS,4959 S Archer Ave ,Chicago,IL,60632,(773) 535-2100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609756.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,43.0,Weak,35,Weak,37.0,Average,45.0,Weak,33,Weak,39,NDA,NDA,NDA,NDA,85.0%,9.1,95.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.2,14.2,15.6,15.1,0.9,16.9,1.3,22.9,76.1,61.3,3320,37,61,150000000000000,1150928.132,1871413.2030000002,41.80304615,-87.72200673,57,ARCHER HEIGHTS,14,8,"(41.80304615, -87.72200673)"
18,39,610402,DEVRY HS,0.5,0.0,0.5,0.0,0.0,"0,0%",DeVry University Advantage Academy High School,HS,3300 N Campbell ,Chicago,IL,60618,(773) 697-2216,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610402.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,58,Strong,55,96.7%,0.0,94.5%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,20.7,NDA,40.6,NDA,63.3,200,35,NDA,150000000000000,1159059.4109999998,1921900.745,41.94142629,-87.6907993,5,NORTH CENTER,47,19,"(41.94142629, -87.6907993)"
19,41,610245,DOUGLASS HS,6.3,1.3,17.4,10.5,15.9,"15,7%",Frederick A Douglass Academy High School,HS,543 N Waller Ave ,Chicago,IL,60644,(773) 534-6176,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610245.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,44.0,NDA,NDA,Weak,39.0,Weak,37.0,NDA,NDA,NDA,NDA,Average,50,Weak,44,79.2%,28.0,94.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.3,13.8,13.5,0.5,14.8,1,5.1,52.8,39.5,354,36,77.1,150000000000000,1138278.715,1903151.591,41.89037849,-87.76763207,25,AUSTIN,29,15,"(41.89037849, -87.76763207)"
20,42,609676,DUNBAR HS,7.2,5.2,7.1,10.4,6.0,"5,9%",Paul Laurence Dunbar Career Academy High School,HS,3000 S King Dr ,Chicago,IL,60616,(773) 534-9000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609676.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,29.0,Average,57,Weak,31.0,Weak,37.0,Average,57,Average,49,NDA,NDA,NDA,NDA,76.9%,21.5,96.0%,98.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,12.7,13.9,13.8,1,14.7,0.8,6.9,61.7,51.5,1456,40,65.7,150000000000000,1179262.097,1885167.032,41.84018775,-87.61767315,35,DOUGLAS,2,1,"(41.84018775, -87.61767315)"
21,45,609704,FARRAGUT HS,12.7,13.6,7.4,6.6,5.9,"3,8%",David G Farragut Career Academy High School,HS,2345 S Christiana Ave ,Chicago,IL,60623,(773) 534-1300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609704.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,43.0,NDA,NDA,Average,42.0,Weak,32.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,86.1%,18.6,95.2%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.6,12.9,14.4,13.9,1.3,16,1.6,13.4,43.2,31.3,1456,37,68.6,150000000000000,1154443.895,1888031.41,41.8485793,-87.70866954,30,SOUTH LAWNDALE,22,10,"(41.8485793, -87.70866954)"
22,46,609705,FENGER HS,21.8,7.7,6.5,6.5,7.8,"3,1%",Christian Fenger Academy High School,HS,11220 S Wallace St ,Chicago,IL,60628,(773) 535-5430,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609705.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,36.0,Weak,28,Average,41.0,Weak,32.0,Average,46,Average,42,NDA,NDA,NDA,NDA,74.4%,49.8,95.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12.1,12.9,13.3,1.3,14,1.1,11.3,34.8,36.7,688,48,68.2,150000000000000,1174272.711,1830372.91,41.68993885,-87.63760833,49,ROSELAND,34,22,"(41.68993885, -87.63760833)"
23,47,609708,FOREMAN HS,11.1,14.1,16.0,11.5,12.6,"3,8%",Edwin G Foreman High School,HS,3235 N LeClaire Ave ,Chicago,IL,60641,(773) 534-3400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609708.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,26.0,NDA,NDA,Weak,28.0,Weak,23.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.3%,10.3,94.8%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.7,14.1,13.7,0.7,15.3,1.2,12.5,59.7,40.9,1716,29,75.6,150000000000000,1141833.3590000002,1921189.138,41.93981043,-87.7541302,15,PORTAGE PARK,30,16,"(41.93981043, -87.7541302)"
24,49,609709,GAGE PARK HS,15.0,7.2,10.0,6.4,1.6,"0,0%",Gage Park High School,HS,5630 S Rockwell St ,Chicago,IL,60629,(773) 535-9230,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609709.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,14.0,Average,43,Weak,29.0,Weak,37.0,Weak,38,Weak,35,NDA,NDA,NDA,NDA,72.5%,19.5,94.0%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.4,12,13.8,13.6,1.2,14.1,0.3,7.9,52.8,40.3,1052,43,46,150000000000000,1159962.875,1867094.3469999998,41.79101352,-87.68899064,63,GAGE PARK,16,8,"(41.79101352, -87.68899064)"
25,51,609769,GRAHAM HS,7.6,2.2,1.4,1.3,2.1,"1,4%",Ray Graham Training Center High School,HS,2347 S Wabash Ave ,Chicago,IL,60616,(773) 534-9257,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609769.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,NDA,Standard,Not Applicable,Not Enough Data,No,Very Strong,90.0,Very Strong,82,Average,52.0,Weak,39.0,Strong,63,Average,52,Average,53,Strong,58,86.3%,3.7,94.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,18.8,10.3,NDA,137,40,NDA,150000000000000,1177161.058,1888615.131,41.84969736,-87.6252787,33,NEAR SOUTH SIDE,2,1,"(41.84969736, -87.6252787)"
26,52,609694,HANCOCK HS,6.6,5.9,5.6,3.0,3.4,"1,5%",John Hancock College Preparatory High School,HS,4034 W 56th St ,Chicago,IL,60629,(773) 535-2410,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609694.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,51.0,Average,44,Average,44.0,Average,41.0,Weak,37,Average,42,Average,50,Weak,44,78.2%,7.5,95.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,13.8,14.7,15,0.4,15.8,1.1,22.6,56.1,45.9,967,44,87.4,150000000000000,1150280.45,1867197.8269999998,41.79149114,-87.72449161,62,WEST ELSDON,13,8,"(41.79149114, -87.72449161)"
